  GameTime  PlayLife     Score    Action
     361       3           0    MOVE RIGHT
     362       3           0     MOVE JUMP
     363       3         100     MOVE JUMP
     364       3         200     MOVE JUMP
     365       3         200     MOVE JUMP
     366       3         200    MOVE RIGHT
     367       3         200    MOVE RIGHT
     368       3         700    MOVE RIGHT
     369       3         700     MOVE JUMP
     370       3        1000     MOVE LEFT
     371       3        1000     MOVE LEFT
     372       3        1000     MOVE JUMP
     373       3        1000     MOVE JUMP
     374       3        1000     MOVE JUMP
     375       3        1000     MOVE JUMP
     376       3        1000     MOVE JUMP
     377       3        1000     MOVE JUMP
     378       3        1000    MOVE RIGHT
     379       3        1000     MOVE JUMP
     380       3        1000     MOVE JUMP
     371       3        1000    MOVE RIGHT
     372       3        1000    MOVE RIGHT
     373       3        1000     MOVE JUMP
     374       3        1100    MOVE RIGHT
     375       3        1100    MOVE RIGHT
     376       3        1100     MOVE JUMP
     377       3        1200     MOVE JUMP
     378       3        1600     MOVE JUMP
     379       3        2900    MOVE RIGHT
     380       3        2900    MOVE RIGHT
     381       3        3700     MOVE LEFT
     382       3        3800    MOVE RIGHT
     383       3        3800    MOVE RIGHT
     384       3        3800     MOVE LEFT
     385       3        3900     MOVE JUMP
     386       3        4200     MOVE JUMP
     387       3        4400     MOVE JUMP
     388       3        4800     MOVE JUMP
     389       3        4900     MOVE JUMP
     390       3        5300     MOVE JUMP
     391       3        5300     MOVE JUMP
     392       3        5300     MOVE JUMP
     393       3        5300     MOVE JUMP
     394       3        5300     MOVE LEFT
     395       3        5300    MOVE RIGHT
     396       3        5400    MOVE RIGHT
     397       3        5400    MOVE RIGHT
     398       3        5400     MOVE JUMP
     399       3        5400     MOVE JUMP
     400       3        5400      MOVE DIE
     371       2        5400    MOVE RIGHT
     372       2        5400    MOVE RIGHT
     373       2        5400     MOVE JUMP
     374       2        5400     MOVE JUMP
     375       2        5600     MOVE JUMP
     376       2        5600     MOVE JUMP
     377       2        5600     MOVE JUMP
     378       2        5700     MOVE JUMP
     379       2        6600     MOVE JUMP
     380       2        7000    MOVE RIGHT
     381       2        7600    MOVE RIGHT
     382       2        7800     MOVE JUMP
     383       2        8400     MOVE LEFT
     384       2        8500     MOVE JUMP
     385       2        8900    MOVE RIGHT
     386       2        9300     MOVE JUMP
     387       2        9500    MOVE RIGHT
     388       2        9800     MOVE JUMP
     389       2        9800     MOVE LEFT
     390       2        9800     MOVE JUMP
     391       2        9800     MOVE JUMP
     392       2        9800     MOVE JUMP
     393       2        9800     MOVE JUMP
     394       2        9800     MOVE JUMP
     395       2        9800    MOVE RIGHT
     396       2        9800     MOVE JUMP
     397       2        9800     MOVE JUMP
     361       2        9800    MOVE RIGHT
     362       2        9800    MOVE RIGHT
     363       2        9800     MOVE JUMP
     364       2       10000     MOVE JUMP
     365       2       10000    MOVE RIGHT
     366       2       10000     MOVE JUMP
     367       2       10000    MOVE RIGHT
     368       2       10000     MOVE JUMP
     369       2       10000    MOVE RIGHT
     370       2       10000     MOVE JUMP
     371       2       10000    MOVE RIGHT
     372       2       10000     MOVE JUMP
     373       2       10000     MOVE JUMP
     361       1       10000    MOVE RIGHT
     362       1       10000    MOVE RIGHT
     363       1       10100     MOVE JUMP
     364       1       10200     MOVE JUMP
     365       1       10200     MOVE JUMP
     366       1       10200    MOVE RIGHT
     367       1       10200     MOVE JUMP
     368       1       10200    MOVE RIGHT
     369       1       10200     MOVE JUMP
     370       1       10200     MOVE JUMP
     371       1       10200     MOVE JUMP
     372       1       10200     MOVE JUMP
     373       1       10200     MOVE JUMP
     374       1       10200    MOVE RIGHT
     375       1       10200    MOVE RIGHT
     341       1       10200    MOVE RIGHT
     342       1       10200    MOVE RIGHT
     343       1       10200    MOVE RIGHT
     344       1       10200    MOVE RIGHT
     345       1       10400    MOVE RIGHT
     346       1       10900    MOVE RIGHT
     347       1       11100     MOVE JUMP
     348       1       11400     MOVE JUMP
     349       1       11500     MOVE LEFT
     350       1       11500     MOVE LEFT
     351       1       11500    MOVE RIGHT
     352       1       11500     MOVE JUMP
     353       1       11500     MOVE JUMP
     354       1       11500     MOVE JUMP
     355       1       11500     MOVE JUMP
     356       1       11500     MOVE JUMP
     357       1       11500     MOVE JUMP
     358       1       11500     MOVE JUMP
     359       1       11500     MOVE JUMP
     360       1       11500    MOVE RIGHT
     361       1       11800     MOVE LEFT
     362       1       12100    MOVE RIGHT
     341       3           0    MOVE RIGHT
     342       3           0     MOVE JUMP
     343       3           0    MOVE RIGHT
     344       3         200    MOVE RIGHT
     345       3         300    MOVE RIGHT
     346       3         500     MOVE LEFT
     347       3         800     MOVE LEFT
     348       3        1100     MOVE JUMP
     349       3        1300     MOVE LEFT
     350       3        1300     MOVE LEFT
     351       3        1300     MOVE JUMP
     352       3        1300    MOVE RIGHT
     353       3        1300    MOVE RIGHT
     354       3        1300     MOVE JUMP
     355       3        1300     MOVE JUMP
     356       3        1300    MOVE RIGHT
     357       3        1300     MOVE JUMP
     358       3        1300     MOVE JUMP
     359       3        1300     MOVE JUMP
     360       3        1300     MOVE JUMP
     341       2        1300     MOVE JUMP
     342       2        1300    MOVE RIGHT
     343       2        1300     MOVE JUMP
     344       2        1600     MOVE JUMP
     345       2        2000    MOVE RIGHT
     346       2        2300     MOVE JUMP
     347       2        2600     MOVE JUMP
     348       2        2600     MOVE LEFT
     349       2        2600     MOVE LEFT
     350       2        2600     MOVE JUMP
     351       2        2600     MOVE JUMP
     352       2        2600     MOVE JUMP
     353       2        2600     MOVE JUMP
     354       2        2600     MOVE JUMP
     355       2        2600     MOVE JUMP
     356       2        2600     MOVE JUMP
     357       2        2600     MOVE JUMP
     358       2        2600     MOVE JUMP
     359       2        2600     MOVE JUMP
     360       2        2800     MOVE LEFT
     361       2        3200    MOVE RIGHT
     362       2        3400     MOVE JUMP
     363       2        3700    MOVE RIGHT
     364       2        4100    MOVE RIGHT
     365       2        4300    MOVE RIGHT
     341       1        4400    MOVE RIGHT
     342       1        4400     MOVE JUMP
     343       1        4400    MOVE RIGHT
     344       1        4400    MOVE RIGHT
     345       1        4700     MOVE JUMP
     346       1        5100    MOVE RIGHT
     347       1        5500     MOVE JUMP
     348       1        5700     MOVE LEFT
     349       1        5700     MOVE LEFT
     350       1        5700     MOVE LEFT
     351       1        5700     MOVE JUMP
     352       1        5700     MOVE JUMP
     353       1        5700     MOVE JUMP
     354       1        5700     MOVE JUMP
     355       1        5700     MOVE JUMP
     356       1        5700     MOVE JUMP
     357       1        5700     MOVE JUMP
     358       1        5700    MOVE RIGHT
     359       1        6100    MOVE RIGHT
     360       1        6900    MOVE RIGHT
